MP,party
Damien Abad,LR
Laurence Abeille,NI
Ibrahim Aboubacar,SER
Élie Aboud,LR
Bernard Accoyer,LR
Patricia Adam,SER
Sylviane Alaux,SER
Éric Alauzet,SER
Yves Albarello,LR
Brigitte Allain,NI
Jean-Pierre Allossery,SER
Nicole Ameline,LR
Pouria Amirshahi,NI
François André,SER
Sylvie Andrieux,NI
Benoist Apparu,LR
Nathalie Appéré,SER
Kader Arif,SER
Laurence Arribagé,LR
François Asensi,GDR
Christian Assaf,SER
Isabelle Attard,NI
Julien Aubert,LR
Olivier Audibert-Troin,LR
Danielle Auroi,NI
Pierre Aylagas,SER
Nestor Azerot,GDR
Alexis Bachelay,SER
Guillaume Bachelay,SER
Jean-Paul Bacquet,SER
Dominique Baert,SER
Patrick Balkany,LR
Guy Bailliart,SER
Alain Ballay,SER
Gérard Bapt,SER
Frédéric Barbier,SER
Jean-Pierre Barbier,LR
Serge Bardy,SER
Claude Bartolone,SER
Christian Bataille,SER
Delphine Batho,SER
Marie-Noëlle Battistel,SER
Laurent Baumel,SER
Philippe Baumel,SER
Denis Baupin,NI
Nicolas Bays,SER
Catherine Beaubatie,SER
Marie-Françoise Marie-Françoise,SER
Jean-Marie Beffara,SER
Huguette Bello,GDR
Luc Belot,SER
Jacques-Alain Bénisti,LR
Thierry Benoit,UDI
Karine Berger,SER
Sylvain Berrios,LR
Chantal Berthelot,SER
Véronique Besse,NI
Gisèle Biémouret,SER
Philippe Bies,SER
Erwann Binet,SER
Jean-Pierre Blazy,SER
Yves Blein,SER
Jean-Luc Bleunven,SER
Patrick Bloche,SER
Alain Bocquet,GDR
Daniel Boisserie,SER
Jacques Bompard,NI
Michèle Bonneton,NI
Marcel Bonnot,LR
Christophe Borgel,SER
Éric Bothorel,NI
Jean-Claude Bouchet,LR
Florent Boudié,SER
Marie-Odile Bouillé,SER
Christophe Bouillon,SER
Gilles Bourdouleix,NI
Brigitte Bourguignon,SER
Malek Boutih,SER
Kheira Bouziane,SER
Valérie Boyer,LR
Émeric Bréhier,SER
Marine Brenier,LR
Xavier Breton,LR
Philippe Briand,LR
Jean-Louis Bricout,SER
Jean-Jacques Bridey,SER
Bernard Brochand,LR
Isabelle Bruneau,SER
Marie-George Buffet,GDR
Sabine Buis,SER
Jean-Claude Buisine,SER
Sylviane Bulteau,SER
Vincent Burroni,SER
Dominique Bussereau,LR
Alain Calmette,SER
Jean-Christophe Cambadélis,SER
Jean-Jacques Candelier,GDR
Colette Capdevielle,SER
Yann Capet,SER
Christophe Caresche,SER
Marie-Arlette Carlotti,SER
Jean-Noël Carpentier,RRDP
Olivier Carré,LR
Gilles Carrez,LR
Martine Carrillon-Couvreur,SER
Patrice Carvalho,GDR
Christophe Castaner,SER
Laurent Cathala,SER
Jean-Yves Caullet,SER
Christophe Cavard,SER
Yves Censi,LR
Nathalie Chabanne,SER
Ary Chalus,RRDP
Guy Chambefort,SER
Jean-Paul Chanteguet,SER
Marie-Anne Chapdelaine,SER
Gérard Charasse,RRDP
Gaby Charroux,GDR
Jérôme Chartier,LR
André Chassaigne,GDR
Luc Chatel,LR
Guy-Michel Chauveau,SER
Dominique Chauvel,NI
Pascal Cherki,SER
Gérard Cherpion,LR
Guillaume Chevrollier,LR
Alain Chrétien,LR
Jean-Louis Christ,LR
Dino Cinieri,LR
Jean-David Ciot,SER
Éric Ciotti,LR
Alain Claeys,SER
Jean-Michel Clément,SER
Stéphane Claireaux,RRDP
Marie-Françoise Clergeau,SER
Philippe Cochet,LR
Romain Colas,SER
Gilbert Collard,NI
David Comet,SER
Jean-François Copé,LR
Philip Cordery,SER
François Cornut-Gentille,LR
Sergio Coronado,NI
Valérie Corre,SER
Jean-Louis Costes,LR
Jean-Jacques Cottel,SER
de Courson,UDI
Édouard Courtial,LR
Catherine Coutelle,SER
Jean-Michel Couve,LR
Jacques Cresta,SER
Pascale Crozon,SER
Frédéric Cuvillier,SER
Seybah Dagoma,SER
Marie-Christine Dalloz,LR
Karine Daniel,SER
Yves Daniel,SER
Olivier Dassault,LR
Marc-Philippe Daubresse,LR
Bernard Debré,LR
Jean-Pierre Decool,LR
Bernard Deflesselles,LR
Laurent Degallaix,UDI
Lucien Degauchy,LR
Pascal Deguilhem,SER
Rémi Delatte,LR
Florence Delaunay,SER
Michèle Delaunay,SER
Guy Delcourt,SER
Carole Delga,SER
Jacques Dellerie,SER
Pascal Demarthe,SER
Stéphane Demilly,UDI
Sébastien Denaja,SER
Françoise Descamps-Crosnier,SER
Jean-Louis Destans,SER
Michel Destot,SER
Patrick Devedjian,LR
Nicolas Dhuicq,LR
Sophie Dion,LR
Julien Dive,LR
Marc Dolez,GDR
Fanny Dombre-Coste,SER
Jean-Pierre Door,LR
Dominique Dord,LR
René Dosière,SER
Philippe Doucet,SER
Sandrine Doucet,SER
David Douillet,LR
Jeanine Dubié,RRDP
Françoise Dubois,SER
Marianne Dubois,LR
Virginie Duby-Muller,LR
Jean-Pierre Dufau,SER
Cécile Duflot,NI
Anne-Lise Dufour-Tonini,SER
Françoise Dumas,SER
William Dumas,SER
Jean-Louis Dumont,SER
Laurence Dumont,SER
Nicolas Dupont-Aignan,NI
Jean-Paul Dupré,SER
Yves Durand,SER
Philippe Duron,SER
Olivier Dussopt,SER
Éric Elkouby,SER
Sophie Errante,SER
Marie-Hélène Fabre,SER
Olivier Falorni,RRDP
Daniel Fasquelle,LR
Alain Fauré,SER
Martine Faure,SER
Olivier Faure,SER
Yannick Favennec,UDI
Georges Fenech,LR
Hervé Féron,SER
Richard Ferrand,SER
Aurélie Filippetti,SER
François Fillon,LR
Geneviève Fioraso,SER
Philippe Folliot,UDI
Marie-Louise Fort,LR
Yves Foulon,LR
Hugues Fourage,SER
Jean-Marc Fournel,SER
Valérie Fourneyron,SER
Michèle Fournier-Armand,SER
Michel Françaix,SER
Marc Francina,LR
Christian Franqueville,SER
Jacqueline Fraysse,GDR
Jean-Christophe Fromantin,NI
Yves Fromion,LR
Jean-Claude Fruteau,SER
Laurent Furst,LR
Jean-Louis Gagnaire,SER
Geneviève Gaillard,SER
Yann Galut,SER
de Ganay,LR
Sauveur Gandolfi-Scheit,LR
Guillaume Garot,SER
Renaud Gauquelin,SER
Hervé Gaymard,LR
Annie Genevard,LR
Guy Geoffroy,LR
Bernard Gérard,LR
Jean-Marc Germain,SER
Alain Gest,LR
Paul Giacobbi,RRDP
Daniel Gibbs,LR
Franck Gilard,LR
Jean-Patrick Gille,SER
Georges Ginesta,LR
Charles-Ange Ginésy,LR
Jean-Pierre Giran,LR
Joël Giraud,RRDP
Jean Glavany,SER
Yves Goasdoué,SER
Claude Goasguen,LR
Daniel Goldberg,SER
Philippe Gomès,UDI
Jean-Pierre Gorges,LR
Geneviève Gosselin,SER
Philippe Gosselin,LR
Pascale Got,SER
Marc Goua,SER
Philippe Goujon,LR
Linda Gourjade,SER
Laurent Grandguillaume,SER
Claude Greff,LR
Jean Grellier,SER
Arlette Grosskost,LR
Serge Grouard,LR
Henri Guaino,LR
Françoise Guégot,LR
Édith Gueugneau,SER
Jean-Claude Guibal,LR
Élisabeth Guigou,SER
Jean-Jacques Guillet,LR
Christophe Guilloteau,LR
Chantal Guittet,SER
David Habib,SER
Meyer Habib,UDI
Razzy Hammadi,SER
Benoît Hamon,SER
Mathieu Hanotin,SER
Michel Heinrich,LR
Michel Herbillon,LR
Antoine Herth,LR
Patrick Hetzel,LR
Francis Hillmeyer,UDI
Gilda Hobert,RRDP
Philippe Houillon,LR
Guénhaël Huet,LR
Joëlle Huillier,SER
Christian Hutin,SER
Sébastien Huyghe,LR
Monique Iborra,SER
Françoise Imbert,SER
Michel Issindou,SER
Christian Jacob,LR
Denis Jacquat,LR
Éric Jalton,SER
Serge Janquin,SER
Yves Jégo,UDI
Henri Jibrayel,SER
Romain Joron,SER
Régis Juanico,SER
Laurent Kalinowski,SER
Marietta Karamanli,SER
Philippe Kemel,SER
Christian Kert,LR
Chaynesse Khirouni,SER
Nathalie Kosciusko-Morizet,LR
Jacques Kossowski,LR
Jacques Krabal,RRDP
Patrick Labaune,LR
Bernadette Laclais,SER
Valérie Lacroute,LR
Conchita Lacuey,SER
Marc Laffineur,LR
Jean-Christophe Lagarde,UDI
Sonia Lagarde,UDI
François-Michel Lambert,SER
Jérôme Lambert,RRDP
Jacques Lamblin,LR
Jean-François Lamour,LR
François Lamy,SER
Anne-Christine Lang,SER
Colette Langlade,SER
Guillaume Larrivé,LR
La Raudière,LR
Jean Lassalle,NI
Jean Launay,SER
Jean-Luc Laurent,SER
La Verpillière,LR
Thierry Lazaro,LR
Alain Lebœuf,LR
Marylise Lebranchu,SER
Le Borgn',SER
Le Bouillonnec,SER
Patrick Lebreton,NI
Le Bris,SER
Le Callennec,LR
Le Dain,SER
Le Déaut,SER
Le Dissez,SER
Vincent Ledoux,LR
Michel Lefait,SER
Dominique Lefebvre,SER
Frédéric Lefebvre,LR
Le Fur,LR
Le Houérou,SER
Pierre Lellouche,LR
Le Loch,SER
Axelle Lemaire,SER
Le Maire,LR
Patrick Lemasle,SER
Le Mèner,LR
Catherine Lemorton,SER
Christophe Léonard,SER
Jean Leonetti,LR
Annick Lepetit,SER
Pierre Lequiller,LR
Le Ray,LR
Le Roch,SER
Le Roux,SER
Arnaud Leroy,SER
Le Roy,SER
Maurice Leroy,UDI
Michel Lesage,SER
Bernard Lesterlin,SER
Serge Letchimy,SER
Céleste Lett,LR
Le Vern,SER
Geneviève Levy,LR
Michel Liebgott,SER
Martine Lignières-Cassou,SER
Audrey Linkenheld,SER
François Loncle,SER
Gabrielle Louis-Carabin,SER
Lucette Lousteau,SER
Véronique Louwagie,LR
Monique Lubin,SER
Lionnel Luca,LR
Victorin Lurel,SER
Gilles Lurton,LR
Jean-Pierre Maggi,RRDP
Noël Mamère,NI
Jean-François Mancel,LR
Jacqueline Maquet,SER
Laurent Marcangeli,LR
Marie-Lou Marcel,SER
Maréchal-Le Pen,NI
Thierry Mariani,LR
Alfred Marie-Jeanne,GDR
Hervé Mariton,LR
Alain Marleix,LR
Olivier Marleix,LR
Franck Marlin,LR
Jean-René Marsac,SER
Alain Marsaud,LR
Philippe Martin,SER
Philippe Martin,LR
Martine Martinel,SER
Patrice Martin-Lalande,LR
Alain Marty,LR
Frédérique Massat,SER
Véronique Massonneau,SER
Jean-Claude Mathis,LR
Sandrine Mazetier,SER
de Mazières,LR
Michel Ménard,SER
Patrick Mennucci,SER
Gérard Menuel,LR
Damien Meslot,LR
Kléber Mesquida,SER
Philippe Meunier,LR
Jean-Claude Mignon,LR
Paul Molac,SER
Pierre Morange,LR
Yannick Moreau,LR
Pierre Morel-A-L'Huissier,LR
Hervé Morin,UDI
Alain Moyne-Bressand,LR
Pierre-Alain Muet,SER
Jacques Myard,LR
Dominique Nachury,LR
Philippe Naillet,SER
Philippe Nauche,SER
Yves Nicolin,LR
Nathalie Nieson,SER
Jean-Philippe Nilor,GDR
Philippe Noguès,NI
Robert Olive,SER
Maud Olivier,SER
Patrick Ollier,LR
Dominique Orliac,RRDP
Monique Orphé,SER
Michel Pajon,SER
Bertrand Pancher,UDI
Luce Pane,SER
George Pau-Langevin,SER
Christian Paul,SER
Rémi Pauvros,SER
Germinal Peiro,SER
Jacques Pélissard,LR
Hervé Pellois,SER
Jean-Claude Perez,SER
Stéphanie Pernod-Beaudon,LR
Bernard Perrut,LR
Édouard Philippe,LR
Sébastien Pietrasanta,SER
Sylvia Pinel,RRDP
Christine Pirès-Beaune,SER
Michel Piron,UDI
Philippe Plisson,SER
Élisabeth Pochon,SER
Jean-Frédéric Poisson,LR
Bérengère Poletti,LR
Napole Polutélé,SER
Axel Poniatowski,LR
Josette Pons,LR
Pascal Popelin,SER
Dominique Potier,SER
Michel Pouzol,SER
Régine Povéda,SER
Patrice Prat,NI
Christophe Priou,LR
Joaquim Pueyo,SER
François Pupponi,SER
Didier Quentin,LR
Catherine Quéré,SER
Valérie Rabault,SER
Monique Rabin,SER
Dominique Raimbourg,SER
Marie Récalde,SER
Frédéric Reiss,LR
Jean-Luc Reitzer,LR
Marie-Line Reynaud,SER
Bernard Reynès,LR
Franck Reynier,UDI
Pierre Ribeaud,SER
Arnaud Richard,UDI
Franck Riester,LR
Rihan Cypel,SER
Thierry Robert,RRDP
Denys Robiliard,SER
Arnaud Robinet,LR
Rocca Serra,LR
François Rochebloine,UDI
Alain Rodet,SER
Marcel Rogemont,SER
Sophie Rohfritsch,LR
Frédéric Roig,SER
Barbara Romagnan,SER
Bernard Roman,SER
Gwendal Rouillard,SER
Jean-Louis Roumégas,NI
René Rouquet,SER
Alain Rousset,SER
de Rugy,SER
Martial Saddier,LR
Maina Sage,UDI
Boinali Saïd,SER
Stéphane Saint-André,RRDP
Paul Salen,LR
Rudy Salles,UDI
Nicolas Sansu,GDR
Béatrice Santais,SER
André Santini,UDI
Éva Sas,NI
Odile Saugues,SER
François Sauvadet,UDI
Gilbert Sauvan,SER
Gilles Savary,SER
François Scellier,LR
Claudine Schmid,LR
André Schneider,LR
Roger-Gérard Schwartzenberg,RRDP
Gérard Sebaoun,SER
Jean-Marie Sermier,LR
Gabriel Serville,GDR
Fernand Siré,LR
Christophe Sirugue,SER
Thierry Solère,LR
Julie Sommaruga,SER
Michel Sordi,LR
Éric Straumann,LR
Claude Sturni,LR
Alain Suguenot,LR
Michèle Tabarot,LR
Jonas Tahuaitu,LR
Suzanne Tallard,SER
Lionel Tardy,LR
Jean-Charles Taugourdeau,LR
Guy Teissier,LR
Pascal Terrasse,SER
Michel Terrot,LR
Jean-Marie Tétart,LR
Pascal Thévenot,LR
Thomas Thévenoud,NI
Dominique Tian,LR
Sylvie Tolmont,SER
Jean-Louis Touraine,SER
Alain Tourret,RRDP
Stéphane Travert,SER
Catherine Troallic,SER
Jean-Paul Tuaiva,UDI
Cécile Untermaier,SER
Daniel Vaillant,SER
Jacques Valax,SER
Manuel Valls,SER
François Vannson,LR
Catherine Vautrin,LR
Michel Vauzelle,SER
Francis Vercamer,UDI
Patrice Verchère,LR
Fabrice Verdier,SER
Michel Vergnier,SER
Arnaud Viala,LR
Jean-Sébastien Vialatte,LR
Philippe Vigier,UDI
Jean-Pierre Vigier,LR
Patrick Vignal,SER
François-Xavier Villain,UDI
Jean-Michel Villaumé,SER
Philippe Vitel,LR
Jean-Jacques Vlody,SER
Michel Voisin,LR
Jean-Luc Warsmann,LR
Laurent Wauquiez,LR
Patrick Weiten,UDI
Éric Woerth,LR
Paola Zanetti,SER
Marie-Jo Zimmermann,LR
Michel Zumkeller,UDI
